id,name,job,department,gender
807,Joe Fineman,Executive In Charge Of Post Production,Production,0
807,Ellen Segal,Music Editor,Sound,0
807,Peter Albiez,Special Effects Coordinator,Crew,0
807,Barry Chusid,Assistant Art Director,Art,2
807,Charles A. Tamburro,Additional Photography,Camera,0
807,Aisha Coley,Casting Associate,Production,0
807,Michele Platt,Associate Producer,Production,0
807,John Nutt,Dialogue Editor,Editing,0
807,Conrad W. Hall,Camera Operator,Camera,2
807,Richard Saperstein,Co-Executive Producer,Production,2
807,Stephen Joel Brown,Co-Producer,Production,2
807,Nana Greenwald,Co-Producer,Production,0
807,Chris Gibbin,Leadman,Art,0
807,Ric Keeley,Post Production Supervisor,Crew,0
807,Ted Zachary,Executive In Charge Of Production,Production,0
807,Mark Graziano,Post Production Supervisor,Crew,0
807,Allan Wertheim,Unit Production Manager,Production,0
807,Rob Bottin,Makeup Effects,Crew,2
807,William C. Gerrity,Line Producer,Production,2
807,Patrick Dodd,Supervising Sound Editor,Sound,2
807,Monty Westmore,Makeup Artist,Costume & Make-Up,2
807,William Davidson,Construction Foreman,Art,2
807,Larry Velasco,Set Costumer,Costume & Make-Up,0
807,Jean Ann Black,Makeup Department Head,Costume & Make-Up,0
807,Elizabeth Lapp,Set Designer,Art,0
807,Elinor Bardach,Costume Supervisor,Costume & Make-Up,0
807,Russell McEntyre,Transportation Coordinator,Crew,0
807,Wayne Stone,Transportation Captain,Crew,0
807,Marvin E. Lewis,Boom Operator,Sound,0
807,Marsha Bozeman,Set Costumer,Costume & Make-Up,0
807,David Emmerichs,Steadicam Operator,Camera,0
807,Robert J. Litt,Sound Re-Recording Mixer,Sound,2
807,Elliot Tyson,Sound Re-Recording Mixer,Sound,2
807,Lori Rowbotham,Set Designer,Art,0
807,Wendy Cox,Production Coordinator,Production,1
807,Becky Ochoa,Hair Designer,Costume & Make-Up,0
807,Michael A. Chavez,Camera Operator,Camera,2
807,Peter Sorel,Still Photographer,Camera,2
807,Dale Myrand,Steadicam Operator,Camera,0
807,Chuck Picerni Jr.,Stunt Coordinator,Crew,2
807,Michael Hancock,Makeup Artist,Costume & Make-Up,0
807,Jennifer McNamara,Casting Assistant,Production,1
807,Jan O'Connell,Art Department Coordinator,Art,0
807,Yvan Lucas,Color Timer,Editing,0
807,Angie Rubin,Music Editor,Sound,1
807,Willie D. Burton,Production Sound Mixer,Sound,2
807,John Lissauer,Orchestrator,Sound,0
807,Jack Keller,Sound Recordist,Crew,2
807,Robert S. Mendelsohn,Unit Production Manager,Production,0
807,Paul Hargrave,Location Manager,Production,0
807,Brad Edmiston,First Assistant Camera,Camera,0
807,Greg Kimble,Visual Effects Supervisor,Visual Effects,0
807,Robert C. Lusted,First Assistant Editor,Editing,0
807,Francesca Dodd,Dialogue Editor,Editing,0
807,Kim B. Christensen,Sound Effects Editor,Sound,0
807,Jennifer L. Ware,Sound Effects Editor,Sound,0
807,Rick Hart,Sound Re-Recording Mixer,Sound,0
807,David Behle,Sound Recordist,Crew,0
807,Bert Dovo,Orchestrator,Sound,0
807,Sanford Panitch,Co-Producer,Production,0
807,Larry J. Aube,Rigging Grip,Lighting,0
807,George Alden,Driver,Crew,0
807,Andrea Gargano,Color Timer,Editing,0
807,Philip Rogers,Sound Recordist,Crew,0
11,George Lucas,Director,Directing,2
11,George Lucas,Executive Producer,Production,2
11,George Lucas,Writer,Writing,2
11,Gary Kurtz,Producer,Production,2
11,Rick McCallum,Producer,Production,0
11,John Williams,Original Music Composer,Sound,2
11,Gilbert Taylor,Director of Photography,Camera,2
11,Vic Ramos,Casting,Production,2
11,Irene Lamb,Casting,Production,1
11,Norman Reynolds,Art Direction,Art,2
11,Marcia Lucas,Editor,Editing,1
11,Dianne Crittenden,Casting,Production,1
11,Roger Christian,Set Decoration,Art,2
11,Leslie Dilley,Art Direction,Art,2
11,John Mollo,Costume Design,Costume & Make-Up,2
11,Phil Tippett,Animation,Visual Effects,2
11,Richard Chew,Editor,Editing,2
11,Paul Hirsch,Editor,Editing,2
11,John Barry,Production Design,Art,2
11,Paul Huston,Visual Effects,Visual Effects,0
101,Luc Besson,Director,Directing,2
101,Patrice Ledoux,Producer,Production,2
101,Eric Serra,Original Music Composer,Sound,0
101,Thierry Arbogast,Director of Photography,Camera,2
101,Sylvie Landra,Editor,Editing,1
101,Todd M. Thaler,Casting,Production,2
101,Dan Weil,Production Design,Art,2
101,Gerard Drolon,Art Direction,Art,0
101,Françoise Benoît-Fresco,Set Decoration,Art,0
101,Magali Guidasci,Costume Design,Costume & Make-Up,1
101,Luc Besson,Screenplay,Writing,2
101,Sylvette Baudrot,Script Supervisor,Directing,0
101,Patrick Camboulive,Still Photographer,Camera,0
101,Claude Serra,Executive Music Producer,Crew,0
101,François Groult,Sound Re-Recording Mixer,Sound,0
101,Gérard Lamps,Sound Re-Recording Mixer,Sound,0
