id,type,name,character,order,job,department,gender
862,crew,Tim Holland,,,Supervising Sound Editor,Sound,2
862,crew,Pat Jackson,,,Sound Effects Editor,Sound,0
862,crew,Tom Myers,,,Sound Design Assistant,Crew,2
862,crew,J.R. Grubbs,,,Assistant Sound Editor,Sound,0
862,crew,Susan Sanford,,,Assistant Sound Editor,Sound,1
862,crew,Susan Popovic,,,Assistant Sound Editor,Sound,0
862,crew,Dan Engstrom,,,Assistant Sound Editor,Sound,0
862,crew,Ruth Lambert,,,Casting Consultant,Production,1
862,crew,Mickie McGowan,,,ADR Voice Casting,Production,0
807,cast,Brad Pitt,Detective David Mills,0,,,2
807,cast,Morgan Freeman,Detective Lt. William Somerset,1,,,2
807,cast,Gwyneth Paltrow,Tracy Mills,2,,,1
807,cast,John C. McGinley,California,3,,,2
807,cast,Kevin Spacey,John Doe,4,,,2
807,cast,R. Lee Ermey,Police Captain,5,,,2
807,cast,Richard Roundtree,Dist. Atty. Martin Talbot,6,,,2
807,cast,Richard Schiff,Mark Swarr,7,,,2
807,cast,Julie Araskog,Mrs. Gould,8,,,0
807,cast,Mark Boone Junior,Greasy F.B.I. Man,9,,,2
807,cast,John Cassini,Officer Davis,10,,,2
807,cast,Reg E. Cathey,Dr. Santiago,11,,,2
807,cast,Peter Crombie,Dr. O'Neill,12,,,0
807,cast,Hawthorne James,"George, Library Night Guard",13,,,2
807,cast,Michael Massee,Man in Booth at Massage Parlor,14,,,2
807,cast,Leland Orser,Crazed Man in Massage Parlor,15,,,2
807,cast,Richard Portnow,Dr. Beardsley,16,,,2
807,cast,Daniel Zacapa,Detective Taylor,17,,,2
807,cast,Alfonso Freeman,Fingerprint Technician,18,,,2
807,cast,Harris Savides,911 Operator,19,,,2
807,cast,Andrew Kevin Walker,Dead Man,20,,,2
807,cast,Richmond Arquette,Delivery Man,21,,,2
807,cast,Pamala Tyson,Thin Vagrant,22,,,0
807,cast,Emily Wagner,Detective Sara,23,,,1
807,cast,Shannon Wilcox,Woman Cop Behind Desk,24,,,1
807,cast,George Christy,Workman at Door of Somerset's Office,25,,,2
807,cast,Endre Hules,Cab Driver,26,,,2
807,cast,William Davidson,First Guard at the Library,27,,,2
807,cast,Bob Collins,Second Guard at the Library,28,,,0
807,cast,Dominique Jennings,TV News Reporter,29,,,1
807,cast,Allan Kolman,First Forensic Man in the Law Office,30,,,2
807,cast,Gene Borkan,Eli Gould - Greed Victim,31,,,2
807,cast,Mario Di Donato,Fingerprint Forensic Man in Law Office,32,,,2
807,cast,Harrison White,Cop on SWAT Team,33,,,0
807,cast,Bob Stephenson,Cop on SWAT Team,34,,,2
807,cast,Michael Reid MacKay,Victor - Sloth Victim,35,,,0
807,cast,Lennie Loftin,Policeman Who Takes Statement from Vagrant,36,,,2
807,cast,Martin Serene,Wild Bill,37,,,0
807,cast,David Correia,First Cop at Massage Parlor,38,,,2
807,cast,Lexie Bigham,Sweating Cop at Massage Parlor,39,,,0
807,cast,Evan Mirand,Paramedic at Massage Parlor,40,,,2
807,cast,Paul Eckstein,Paramedic at Massage Parlor,41,,,0
807,cast,Rachel Flanagan,Additional 911 Operator,42,,,1
807,cast,Heidi Schanz,Pride Victim,43,,,1
807,cast,Brian Evers,Duty Sergeant,44,,,2
807,cast,James Deeth,Helicopter Pilot,45,,,0
807,cast,Charles A. Tamburro,SWAT Helicopter Pilot,46,,,0
807,cast,Charles S. Dutton,Cop (uncredited),47,,,2
807,cast,Arthur Max,Man in Library (uncredited),48,,,2
807,crew,Suzanne Smith,,,Casting,Production,1
807,crew,Howard Shore,,,Original Music Composer,Sound,2
807,crew,Michael Kaplan,,,Costume Design,Costume & Make-Up,2
807,crew,Clay A. Griffith,,,Set Decoration,Art,2
807,crew,Arthur Max,,,Production Design,Art,2
807,crew,William Hoy,,,Additional Editing,Editing,2
807,crew,Darius Khondji,,,Director of Photography,Camera,2
807,crew,Billy Hopkins,,,Casting,Production,2
807,crew,Richard Francis-Bruce,,,Editor,Editing,2
807,crew,Lynn Harris,,,Co-Executive Producer,Production,1
807,crew,Kim Coleman,,,Casting Assistant,Production,1
807,crew,Kerry Barden,,,Casting,Production,2
807,crew,Vincent Landay,,,Thanks,Crew,2
807,crew,David Fincher,,,Director,Directing,2
807,crew,Steve Boeddeker,,,Sound Design Assistant,Crew,0
807,crew,Ceán Chaffin,,,Thanks,Crew,0
807,crew,Ren Klyce,,,Sound Designer,Sound,0
807,crew,Ren Klyce,,,Sound Effects Editor,Sound,0
807,crew,Gianni Nunnari,,,Executive Producer,Production,2
807,crew,Dan Kolsrud,,,Executive Producer,Production,2
807,crew,Arnold Kopelson,,,Producer,Production,2
807,crew,Andrew Kevin Walker,,,Screenplay,Writing,2
807,crew,Phyllis Carlyle,,,Producer,Production,1
