id,name,character,order,gender
11,Joe Johnston,Death Star Trooper (uncredited),63,2
11,Annette Jones,Mosep (uncredited),64,0
11,Linda Jones,Chall Bekan (uncredited),65,0
11,Joe Kaye,Solomohal (uncredited),66,0
11,Colin Michael Kitchens,Stormtrooper (voice) (uncredited),67,0
11,Melissa Kurtz,Jawa (uncredited),68,0
11,Tiffany L. Kurtz,Jawa (uncredited),69,0
11,Al Lampert,Daine Jir (uncredited),70,0
11,Anthony Lang,BoShek (uncredited),71,0
11,Laine Liska,Muftak / Cantina Band Member (uncredited),72,0
11,Derek Lyons,Temple Guard / Medal Bearer (uncredited),73,2
11,Mahjoub,Jawa (uncredited),74,0
11,Alf Mangan,Takeel (uncredited),75,0
11,Rick McCallum,Stormtrooper (special edition) (uncredited),76,0
11,Grant McCune,Death Star Gunner (uncredited),77,0
11,Geoffrey Moon,Cantina Patron (uncredited),78,0
11,Mandy Morton,Swilla Corey (uncredited),79,0
11,Lorne Peterson,Massassi Base Rebel Scout (uncredited),80,0
11,Marcus Powell,Rycar Ryjerd (uncredited),81,0
11,Shane Rimmer,InCom Engineer (uncredited),82,2
11,Pam Rose,Leesub Sirln (uncredited),83,0
11,George Roubicek,Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited),84,2
11,Erica Simmons,Tawss Khaa (uncredited),85,0
11,Angela Staines,Senni Tonnika (uncredited),86,0
11,George Stock,Cantina Patron (uncredited),87,0
11,Roy Straite,Cantina Patron (uncredited),88,0
11,Peter Sturgeon,Sai'torr Kal Fas (uncredited),89,0
11,Peter Sumner,Lt. Pol Treidum (uncredited),90,2
11,John Sylla,Cantina Voices (voice) (uncredited),91,0
11,Tom Sylla,Massassi Outpost Announcer / Various Voices (voice) (uncredited),92,0
11,Malcolm Tierney,Lt. Shann Childsen (uncredited),93,2
11,Phil Tippett,Cantina Alien (uncredited),94,2
11,Burnell Tucker,Del Goren (uncredited),95,0
11,Morgan Upton,Stormtrooper (voice) (uncredited),96,0
11,Jerry Walter,Stormtrooper (voice) (uncredited),97,0
11,Hal Wamsley,Jawa (uncredited),98,0
11,Larry Ward,Greedo (voice) (uncredited),99,2
11,Diana Sadley Way,Thuku (uncredited),100,0
11,Harold Weed,Ketwol / Melas (uncredited),101,0
11,Bill Weston,Stormtrooper (uncredited),102,2
11,Steve 'Spaz' Williams,Mos Eisley Citizen (special edition) (uncredited),103,0
