id,name,count
28,Action,108
12,Adventure,107
878,Science Fiction,74
18,Drama,53
53,Thriller,52
14,Fantasy,47
10751,Family,39
35,Comedy,36
80,Crime,29
16,Animation,25
9648,Mystery,15
10749,Romance,10
10752,War,7
27,Horror,5
37,Western,3
36,History,3
10402,Music,1
