Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1972,The Godfather,American,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, John Cazale, Diane Keaton, Talia Shire, Richard Castellano, Richard Conte, Sterling Hayden, Al Lettieri, Gianni Russo, Abe Vigoda, John Marley, Alex Rocco, Al Martino",crime drama,https://en.wikipedia.org/wiki/The_Godfather,"In 1945, at his daughter Connie's wedding, Vito Corleone hears requests in his role as the Godfather, the Don of a New York crime family. Vito's youngest son, Michael, who was a Marine during World War II, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a famous singer and Vito's godson, seeks Vito's help in securing a movie role; Vito dispatches his consigliere, Tom Hagen, to Los Angeles to persuade the obstinately-opposed studio head Jack Woltz to give Johnny the part. Woltz refuses until he wakes up in bed with the severed head of his prized stallion.
Shortly before Christmas, drug baron Virgil ""The Turk"" Sollozzo, backed by the Tattaglia crime family, asks Vito for investment in his narcotics business and protection through his political connections. Wary of involvement in a dangerous new trade that risks alienating political insiders, Vito declines. Suspicious, Vito sends his enforcer, Luca Brasi, to spy on them. However, a Tattaglia button man garrotes Brasi during Brasi's first meeting with Bruno Tattaglia and Sollozzo. Later Sollozzo has Vito gunned down in the street, then kidnaps Hagen. With Corleone first-born Sonny in command, Sollozzo pressures Hagen to persuade Sonny to accept Sollozzo's deal, then releases him. The family receives fish wrapped in Brasi's bullet-proof vest, indicating that Luca ""sleeps with the fishes."" Vito survives, and at the hospital Michael thwarts another attempt on his father; Michael's jaw is broken by NYPD Captain Marc McCluskey, Sollozzo's bodyguard. Sonny retaliates with a hit on Bruno Tattaglia. Michael plots to murder Sollozzo and McCluskey: on the pretext of settling the dispute, Michael agrees to meet them in a Bronx restaurant. There, retrieving a planted handgun, he kills both men.
Despite a clampdown by the authorities, the Five Families erupt in open warfare and Vito's sons fear for their safety. Michael takes refuge in Sicily and Fredo is sheltered by Moe Greene in Las Vegas. Sonny attacks his brother-in-law Carlo on the street for abusing his sister and threatens to kill him if it happens again. When it does, Sonny speeds to their home, but is ambushed at a highway toll booth and riddled with submachine gun fire. While in Sicily, Michael meets and marries Apollonia Vitelli, but a car bomb intended for him takes her life.
Devastated by Sonny's death, Vito moves to end the feuds. Realizing that the Tattaglias are controlled by the now-dominant Don Emilio Barzini, Vito assures the Five Families that he will withdraw his opposition to their heroin business and forgo avenging his son's murder. His safety guaranteed, Michael returns home to enter the family business and marry Kay, promising her that the business will be legitimate within five years. Kay gives birth to two children by the early 1950s, and with his father at the end of his career and his brother too weak, Michael takes the family reins. He insists Hagen relocate to Las Vegas and relinquish his role to Vito because Tom is not a ""wartime consigliere""; Vito agrees Tom should ""have no part in what will happen"" in the coming battles with rival families. Michael travels to Las Vegas to buy out Greene's stake in the family's casinos. Michael is dismayed to see that Fredo has fallen under Greene's sway.
In 1955, Vito suffers a fatal heart attack. At the funeral, Tessio, a Corleone capo, asks Michael to meet with Don Barzini, signalling the betrayal that Vito had forewarned. The meeting is set for the same day as the christening of Connie's baby. While Michael stands at the altar as the child's godfather, Corleone assassins murder the other New York dons and Moe Greene. Tessio is executed for his treachery and Michael extracts Carlo's confession to his complicity in setting up Sonny's murder for Barzini. A Corleone capo, Clemenza, garrotes Carlo with a wire. Connie accuses Michael of the murder, telling Kay that Michael ordered all the killings. Kay is relieved when Michael finally denies it, but, when the capos arrive, they address her husband as Don Corleone, and she watches as they close the door on her."
1979,Alien,American,Ridley Scott,"Sigourney Weaver, Tom Skerritt, Harry Dean Stanton, Veronica Cartwright, John Hurt, Ian Holm, Yaphet Kotto",unknown,https://en.wikipedia.org/wiki/Alien_(film),"The commercial space tug Nostromo is on a return trip to Earth with a seven-member crew in stasis: Captain Dallas (Tom Skerritt), Executive Officer Kane (John Hurt), Warrant Officer Ripley (Sigourney Weaver), Navigator Lambert (Veronica Cartwright), Science Officer Ash (Ian Holm) and two Engineers, Parker (Yaphet Kotto) and Brett (Harry Dean Stanton). Detecting a transmission from the nearby planetoid LV-426, the ship's computer, Mother, awakens the crew. Company policy requires crews to investigate such transmissions, so they land on the planetoid, sustaining damage from its atmosphere and rocky landscape. Parker and Brett repair the ship while Dallas, Kane and Lambert head out to investigate. They discover the signal comes from a derelict alien spacecraft and head inside it, losing communication with Ash. Inside, they find the remains of a large alien creature.
Ripley deciphers part of the transmission, determining it's not a distress signal, but a warning of some kind. In the spacecraft, Kane discovers a chamber containing hundreds of large egg-like objects. When he touches one, it opens and a creature springs out and attaches to his face through the facemask of his spacesuit. Dallas and Lambert carry the unconscious Kane back to the Nostromo. As acting senior officer, Ripley refuses to let them aboard, citing quarantine regulations, but Ash ignores Ripley and lets them in. The crew unsuccessfully attempt to remove the creature from Kane's face, discovering that its blood is an extremely corrosive acid. It later detaches on its own and is found dead. The ship is partly repaired, and the crew lifts off. Kane awakens with some memory loss but otherwise unharmed. During a final crew meal before returning to stasis, he chokes and convulses in pain, then dies as a small alien creature bursts from his chest and escapes into the ship. The crew attempts to locate it with a tracking device and capture or kill it with nets, electric prods and flamethrowers.
Brett follows the crew's cat, Jones, into an engine room and the now fully-grown alien (Bolaji Badejo) attacks him and disappears with his body into an air shaft. After heated discussion, the crew decide the creature must be in the air ducts. Dallas enters the ducts, intending to force the alien into the airlock, but it ambushes him. Lambert implores the others to abandon ship and escape in its small shuttle. Now in command, Ripley explains that the shuttle will not support four people and pushes to continue with Dallas' plan of flushing out the alien.
Now with access to Mother, Ripley discovers that Ash has been secretly ordered to return the alien to the company, with the crew deemed expendable. Ripley confronts Ash and he tries to choke her to death. Parker intervenes and clubs Ash, knocking off his head and revealing him to be an android. Parker reanimates Ash's head and they learn he was assigned to the Nostromo to ensure the creature was returned for analysis at any expense, including the crew's lives. Ash taunts them about their chances against the ""perfect organism"". Ripley disconnects Ash and Parker burns his smashed remains with a flamethrower.
Ripley, Lambert, and Parker agree to self-destruct the Nostromo and escape in the shuttle. Parker and Lambert are killed by the alien while gathering life-support supplies. Ripley initiates the self-destruct sequence and heads with the cat to the shuttle to find the alien in her path. She retreats and attempts unsuccessfully to abort the self-destruct. She returns to the shuttle, where the alien is gone, and she narrowly escapes in the shuttle as the Nostromo explodes.
As she prepares for stasis, Ripley finds the alien has stowed-away aboard the shuttle. She puts on a spacesuit and opens the shuttle's airlock. The explosive decompression forces the alien into the airlock doorway. She shoots it with a grappling hook to propel it into space, but the gun catches as the airlock closes, tethering the alien to the shuttle. It attempts to crawl into one of the engines but Ripley fires them to blast the alien into space. After recording the voyage final log entry, she places herself and the cat into stasis for the trip home to Earth."
1980,The Shining,American,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Scatman Crothers, Danny Lloyd, Anne Jackson, Barry Nelson",horror,https://en.wikipedia.org/wiki/The_Shining_(film),"Jack Torrance arrives at the mountain-isolated Overlook Hotel, which is twenty-five miles from the closest town, to be interviewed for the position of winter caretaker. Once hired, Jack plans to use the hotel's solitude to write. The hotel, built on the site of a Native American burial ground, becomes snowed-in during the winter; it is closed from October to May. Manager Stuart Ullman warns Jack that a previous caretaker, Charles Grady, developed cabin fever and killed his family and himself. In Boulder, Jack's son, Danny Torrance, has a terrifying premonition about the hotel, viewing a cascade of blood emerging from an elevator door, and then falls into a trance. Jack's wife, Wendy, tells a doctor that Danny has an imaginary friend named Tony, and that Jack has given up drinking because he dislocated Danny's shoulder following a binge.
The family arrives at the hotel on closing day and is given a tour. The chef, Dick Hallorann, surprises Danny by telepathically offering him ice cream. Dick explains to Danny that he and his grandmother shared this telepathic ability, which he calls ""shining"". Danny asks if there is anything to be afraid of in the hotel, particularly room 237. Hallorann tells Danny that the hotel has a ""shine"" to it along with many memories, not all of which are good. He also tells Danny to stay away from room 237.
A month passes; while Jack's writing goes nowhere, Danny and Wendy explore the hotel's hedge maze, and Hallorann goes to Florida. Wendy learns that the phone lines are out due to the heavy snowfall, and Danny has frightening visions. Jack, increasingly frustrated, starts behaving strangely and becomes prone to violent outbursts. Danny's curiosity about room 237 overcomes him when he sees the room's door open. Later, Wendy finds Jack screaming during a nightmare while asleep at his typewriter. After she awakens him, Jack says he dreamed that he killed her and Danny. Danny arrives and is visibly traumatized with a bruise on his neck, causing Wendy to accuse Jack of abusing him. Jack wanders into the hotel's Gold Room and meets a ghostly bartender named Lloyd. Lloyd serves him bourbon whiskey while Jack complains about his marriage. Wendy later tells Jack that Danny told her a ""crazy woman in one of the rooms"" attempted to strangle him. Jack investigates room 237, encountering the ghost of a dead woman, but tells Wendy that he saw nothing. Wendy and Jack argue over whether Danny should be removed from the hotel and a furious Jack returns to the Gold Room, now filled with ghosts attending a ball. He meets the ghost of Grady who tells Jack that he must ""correct"" his wife and child and that Danny has reached out to Hallorann using his ""talent"". Meanwhile, Hallorann grows concerned about what's going on at the hotel and flies back to Colorado. Danny starts calling out ""redrum"" and goes into a trance, referring to himself as ""Tony"".
While searching for Jack, Wendy discovers he has been typing pages of a repetitive manuscript: ""all work and no play makes Jack a dull boy"". She begs Jack to leave the hotel with Danny, but he threatens her before she knocks him unconscious with a baseball bat. She drags him into the kitchen and locks him in the pantry, but she and Danny are both trapped at the hotel: Jack has disabled the hotel's two-way radio and snowcat. Later, Jack converses through the pantry door with Grady, who unlocks the door.
Danny writes ""REDRUM"" on the outside of the bathroom door in the family's living quarters. When Wendy sees the word reversed in the bedroom mirror, the word is revealed to be ""MURDER"". Jack begins hacking through the quarters' main door with a firefighter's axe. Wendy sends Danny through the bathroom window, but it will not open sufficiently for her to pass. Jack breaks through the bathroom door, shouting ""Here's Johnny!"", but retreats after Wendy slashes his hand with a butcher's knife. Hearing Hallorann arriving in a snowcat he borrowed, Jack leaves the room. He murders Hallorann with the axe in the lobby and pursues Danny into the hedge maze. Wendy runs through the hotel looking for Danny, encountering ghosts and the cascade of blood Danny envisioned in Boulder. She also finds Hallorann's corpse in the lobby. Danny lays a false trail to mislead Jack, who is following his footprints, before hiding behind a drift. Danny escapes from the maze and reunites with Wendy; they escape in Hallorann's snowcat, while Jack freezes to death in the snow. In an old photograph in the hotel hallway dated July 4, 1921, Jack Torrance smiles front and center amid a crowd of party revelers at the Overlook."
1980,The Empire Strikes Back,American,Irvin Kershner,"Carrie Fisher, Harrison Ford, Mark Hamill, Billy Dee Williams, Alec Guinness",science fiction,https://en.wikipedia.org/wiki/The_Empire_Strikes_Back,"Three years after the destruction of the Death Star, the Rebel Alliance has been driven from their former base on Yavin IV by the Galactic Empire. The rebels, led by Princess Leia, have set up a new base on the ice planet Hoth. The Imperial fleet, led by Darth Vader, continues to hunt for the Rebels' new base by dispatching probe droids across the galaxy. Luke Skywalker is captured by a wampa while investigating one such probe, but he manages to escape from the wampa's cave with his lightsaber. Before Luke succumbs to the freezing temperatures, the spirit of his late mentor, Obi-Wan Kenobi, instructs him to go to the Dagobah system to train under Jedi Master Yoda. Luke is found by Han Solo, where they cut open a Tauntaun (that Han rode on) to keep warm inside, and the duo is eventually rescued by a search party.
Meanwhile, the probe alerts the Imperial fleet to the rebels' location. The Empire launches a large-scale attack, using AT-AT Walkers to capture the base, which forces the rebels to retreat. Han and Leia escape on the Millennium Falcon with C-3PO and Chewbacca, but the ship's hyperdrive malfunctions. They hide in an asteroid field, where Han and Leia grow closer and eventually kiss. Vader summons bounty hunters to assist in finding the Falcon. Luke, meanwhile, escapes with R2-D2 in his X-wing fighter and crash-lands on the swamp planet Dagobah. He meets a diminutive creature who reveals himself to be Yoda; after conferring with Obi-Wan's spirit, Yoda reluctantly accepts Luke as his student.
After evading the Imperial fleet, Han's group travel to the floating Cloud City on the planet of Bespin, which is run by Han's old friend, Lando Calrissian. Unbeknownst to the group, the bounty hunter Boba Fett tracks the Falcon; shortly after their arrival, Lando leads the group into a trap and they are handed over to Darth Vader and Boba Fett. Vader plans to use the group as bait to lure out Luke, intending to capture him alive and take him to Emperor Palpatine. Luke sees a premonition of Han and Leia in pain and, against the wishes of Yoda and Obi-Wan, abandons his training to rescue them.
Vader intends to hold Luke in suspended animation via carbon freezing and selects Han to be frozen as a test subject. Han survives the process and is given to Fett, who intends to deliver Han to Jabba the Hutt. Lando initiates an escape and frees Leia and the others, but they are too late to stop Fett from departing with Han. They fight their way back to the Falcon and flee Cloud City. Meanwhile, Luke arrives at Cloud City and engages with Vader in a lightsaber duel that leads them over the city's central air shaft. Vader severs Luke's right hand, disarming him; when Luke refuses to join Vader against the Emperor, accusing him of murdering his father, Vader reveals that he, in fact, is his father. Horrified by the truth, Luke intentionally falls into the air shaft and is ejected beneath the floating city, where he grabs onto an antenna. He makes a telepathic plea to Leia, who senses it and persuades Lando to return for him in the Falcon. After Luke is brought on board, they are chased by TIE fighters and Vader on his star destroyer, but R2-D2 reactivates the Falcon's hyperdrive, allowing them to escape.
Aboard a medical frigate in the Rebel fleet, Luke's severed hand is replaced with a robotic hand. Lando and Chewbacca set off for Tatooine in the Falcon in order to find Jabba the Hutt and save Han. As the Falcon departs, Luke, Leia, R2-D2, and C-3PO gaze out on the galaxy and await word from Lando."
1981,Raiders of the Lost Ark,American,Steven Spielberg,"Harrison Ford, Karen Allen, Denholm Elliott, Paul Freeman, John Rhys-Davies, Ronald Lacey, Alfred Molina",adventure,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,"In 1936, archaeologist Indiana Jones braves an ancient booby-trapped temple in Peru and retrieves a golden idol. He is confronted by rival archaeologist René Belloq and the indigenous Hovito people. Surrounded and outnumbered, Jones surrenders the idol to Belloq and escapes aboard a waiting floatplane.
Jones returns to his teaching position at Marshall College, where he is interviewed by two Army Intelligence agents. They inform Jones that the Nazis are searching for his old mentor, Abner Ravenwood, under whom Jones studied at the University of Chicago. The Nazis know that Ravenwood is the leading expert on the ancient city of Tanis in Egypt, and that he possesses the headpiece of the Staff of Ra. Jones deduces that the Nazis are searching for the Ark of the Covenant — the Nazis believe that if they acquire the Ark, their armies will become invincible. The Staff of Ra is the key to finding the Well of Souls, a secret chamber in which the Ark is buried.
The agents authorize Jones to recover the Ark to prevent the Nazis from obtaining it. He travels to Nepal and discovers that Ravenwood has died, and the headpiece is in the possession of Ravenwood's daughter Marion. Jones visits Marion at her tavern, where she reveals her bitter feelings toward him from a previous romantic affair. She physically rebuffs his offer to buy the headpiece, and Jones leaves. Shortly after, a group of thugs arrive with their Nazi commander Arnold Toht. Toht threatens Marion to get the headpiece but Jones returns to the bar and fights the Nazis to save Marion. During the fight the bar is set ablaze and the headpiece lands in the flames. Toht severely burns his hand trying to take the hot headpiece and flees the tavern screaming. Jones and Marion escape with the headpiece, and Marion decides to accompany Jones in his search for the Ark so he can repay his debt to her.
The pair travels to Cairo, where they meet up with Jones' friend and skilled digger Sallah. Sallah informs them that Belloq and the Nazis are digging for the Well of Souls with a replica of the headpiece (created from the scar on Toht's hand). They quickly realize the Nazi headpiece is incomplete and that the Nazis are digging in the wrong place. The Nazis kidnap Marion and it appears to Jones that she is killed in an exploding truck. After a confrontation with Belloq in a local bar, Jones and Sallah infiltrate the Nazi dig site and use their staff to correctly locate the Ark. Jones discovers Marion is alive when he finds her bound and gagged in a tent. He refuses to release her out of fear of alerting the Nazis. Jones, Sallah, and a small group of diggers unearth the Well of Souls and acquire the Ark. Belloq and Nazi officer Colonel Dietrich arrive and seize the Ark from Jones, throwing Marion into the Well of Souls with him before sealing it back up. Jones and Marion escape to a local airstrip, where Jones has a fistfight with a Nazi mechanic and destroys the flying wing that was to transport the Ark to Berlin. The panicked Nazis remove the Ark in a truck and set off for Cairo, but Jones catches them and retakes it. He makes arrangements to take the Ark to London aboard a tramp steamer.
The next day, a Nazi U-boat appears and intercepts the ship. Belloq and Dietrich seize the Ark and Marion but cannot locate Jones, who stows away aboard the U-boat and travels with them to an island in the Aegean Sea. Once there, Belloq plans to test the power of the Ark before presenting it to Hitler. Jones reveals himself and threatens to destroy the Ark with a panzerfaust, but Belloq calls his bluff and Jones surrenders rather than destroy such an important historical artifact. The Nazis take Jones and Marion to an area where the Ark will be opened and tie them to a post to observe. Belloq performs a ceremonial opening of the Ark and finds it contains nothing but sand. Suddenly, angelic ghost-like beings emerge from the Ark and Jones cautions Marion to keep her eyes closed and not to look no matter what happens. Belloq and the others look on in astonishment as the apparitions are suddenly revealed to be angels of death. A vortex of flame forms above the Ark and shoots bolts of fiery energy into the gathered Nazi soldiers, killing them all. As Belloq, Toht and Dietrich all scream in terror the Ark turns its fury on them: Dietrich's head shrivels up, Toht's face is melted off his skull and Belloq's head explodes. Flames then engulf the remains of the doomed assembly, save for Jones and Marion, and the pillar of fire rises into the sky. The Ark's lid is blasted high into the air before dropping back down onto the Ark and sealing it. Jones and Marion find their ropes burned off and embrace.
In Washington, D.C., the Army Intelligence agents inform Jones and Marcus Brody that the Ark is someplace safe and will be studied by ""top men"". The Ark is shown being stored in a giant government warehouse among countless similar crates."
1982,Blade Runner,American,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah, William Sanderson, Joanna Cassidy, Brion James, Joe Turkel",science-fiction,https://en.wikipedia.org/wiki/Blade_Runner,"In 2019 Los Angeles, former police officer Rick Deckard is detained by officer Gaff, and brought to his former supervisor, Bryant. Deckard, whose job as a ""blade runner"" was to track down bioengineered beings known as replicants and ""retire"" (kill) them, is informed that four are on Earth illegally. Deckard starts to leave, but Bryant ambiguously threatens him, and he stays. The two watch a video of a blade runner named Holden administering the ""Voigt-Kampff"" test, which is designed to distinguish replicants from humans based on their emotional response to questions. The test subject, Leon, shoots Holden on the second question. Bryant wants Deckard to retire Leon and the other three Tyrell Corporation Nexus-6 replicants: Roy Batty, Zhora, and Pris.
Bryant has Deckard meet with Eldon Tyrell so he can administer the test on a Nexus-6 to see if it works. Tyrell expresses his interest in seeing the test fail first and asks him to administer it on his assistant Rachael. After a much longer than standard test, Deckard concludes that Rachael is a replicant who believes she is human. Tyrell explains that she is an experiment who has been given false memories to provide an emotional ""cushion.""
Searching Leon's hotel room, Deckard finds photos and a synthetic snake scale. Roy and Leon investigate a replicant eye-manufacturing laboratory and learn of J. F. Sebastian, a gifted genetic designer who works closely with Tyrell. Deckard returns to his apartment where Rachael is waiting. She tries to prove her humanity by showing him a family photo, but after Deckard reveals that her memories are implants from Tyrell's niece, she leaves his apartment. Meanwhile, Pris locates Sebastian and manipulates him to gain his trust.
A photograph from Leon's apartment and the snake scale lead Deckard to a strip club, where Zhora works. After a confrontation and chase, Deckard kills Zhora. Bryant orders him also to retire Rachael, who has disappeared from the Tyrell Corporation. After Deckard spots Rachael in a crowd, he is attacked by Leon, who knocks Deckard's pistol out of his hand, and attempts to kill Deckard, but Rachael uses Deckard's pistol to kill Leon. They return to Deckard's apartment, and, during an intimate discussion, he promises not to track her down; as she abruptly tries to leave, Deckard restrains her, making her kiss him.
Arriving at Sebastian's apartment, Roy tells Pris that the others are dead. Sympathetic to their plight, Sebastian reveals that because of ""Methuselah Syndrome"", a genetic premature aging disorder, his life will also be cut short. Sebastian and Roy gain entrance into Tyrell's secure penthouse, where Roy demands more life from his maker. Tyrell tells him that it is impossible. Roy confesses that he has done ""questionable things"", but Tyrell dismisses this, praising Roy's advanced design, and accomplishments in his short life. Roy kisses Tyrell, then kills him. Sebastian runs for the elevator, followed by Roy, who rides the elevator down alone.[nb 1] Deckard is later told by Bryant that Sebastian was found dead.
At Sebastian's apartment, Deckard is ambushed by Pris, but he kills her as Roy returns. Roy's body begins to fail as the end of his lifespan nears. He chases Deckard through the building, ending on the roof. Deckard tries to jump to an adjacent roof, but is left hanging between buildings. Roy makes the jump with ease, and as Deckard's grip loosens, Roy hoists him onto the roof, saving him. Before Roy dies, he delivers a monologue about how his memories ""will be lost in time, like tears in rain"". Gaff arrives and shouts to Deckard about Rachael: ""It's too bad she won't live, but then again, who does?"" Deckard returns to his apartment and finds Rachael asleep in his bed. As they leave, Deckard notices an origami unicorn on the floor, a calling card that recalls for him Gaff's earlier statement. Deckard and Rachael leave the apartment block."
1983,Return of the Jedi,American,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",science fiction,https://en.wikipedia.org/wiki/Return_of_the_Jedi,"Luke Skywalker initiates a plan to rescue Han Solo from the crime lord Jabba the Hutt with the help of Princess Leia, Lando Calrissian, Chewbacca, C-3PO, and R2-D2. Leia infiltrates Jabba's palace on Tatooine, disguised as a bounty hunter, with Chewbacca as her prisoner. Leia releases Han from his carbonite prison, but she is captured and enslaved. Luke arrives soon afterward, but is also captured after a tense standoff. After Luke survives his battle with Jabba's Rancor, Jabba sentences him and Han to death by feeding them to the Sarlacc. Luke frees himself and battles Jabba's guards. During the chaos, Leia strangles Jabba to death, and Luke destroys Jabba's sail barge as the group escapes. While the others rendezvous with the Rebel Alliance, Luke returns to Dagobah where he finds that Yoda is dying. Before he dies, Yoda confirms that Darth Vader, once known as Anakin Skywalker, is Luke's father, and that there is ""another Skywalker"". The spirit of Obi-Wan Kenobi confirms that this other Skywalker is Leia, who is Luke's twin sister. Obi-Wan tells Luke that he must fight Vader again to defeat the Empire.
The Rebel Alliance learns that the Empire has been constructing a new Death Star under the supervision of the Emperor himself. As the station is protected by an energy shield, Han leads a strike team to destroy the shield generator on the forest moon of Endor; doing so would allow a squadron of starfighters to destroy the Death Star. The strike team, accompanied by Luke and Leia, travels to Endor in a stolen Imperial shuttle. On Endor, Luke and his companions encounter a tribe of Ewoks and, after an initial conflict, gain their trust. Later, Luke tells Leia that she is his sister, Vader is their father, and that he must go and confront him. Surrendering to Imperial troops, Luke is brought to Vader and unsuccessfully tries to convince him to turn from the dark side of the Force.
Vader takes Luke to the Death Star to meet the Emperor, intent on turning him to the dark side. The Emperor reveals that the Death Star is actually fully operational and the rebel fleet will fall into a trap. On Endor, Han's strike team is captured by Imperial forces, but a surprise counterattack by the Ewoks allows the rebels to battle the Imperials. Meanwhile, Lando leads the rebel fleet to the Death Star in the Millennium Falcon, only to find out that the shield is still active, and the Imperial fleet is waiting for them. The Emperor tempts Luke to give in to his anger, and Luke engages Vader in a lightsaber duel. Vader senses that Luke has a sister, and threatens to turn her to the dark side. Enraged, Luke attacks Vader and severs his prosthetic right hand. The Emperor entreats Luke to kill Vader and take his place, but Luke refuses, declaring himself a Jedi as his father had been. Furious, the Emperor tortures Luke with Force lightning. Unwilling to let his son die, Vader throws the Emperor down a reactor chute to his death, but Vader is mortally electrocuted in the process. At his last request, Luke removes the redeemed Anakin's mask before he dies peacefully in Luke's arms.
As the battle between the Imperial and Alliance fleets continues, the strike team defeats the Imperial forces and destroys the shield generator, allowing the rebel fleet to launch their assault on the Death Star. Lando leads a group of rebel ships into the Death Star's core and destroys the main reactor. As Luke escapes on a shuttle with his father's body, the Falcon flies out of the Death Star's superstructure as the station explodes. On Endor, Leia reveals to Han that Luke is her brother, and they kiss. Luke returns to Endor and cremates Anakin's body on a pyre. As the rebels celebrate their victory over the Empire, Luke smiles as he sees the spirits of Obi-Wan, Yoda, and Anakin watching over them."
1984,The Terminator,American,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Lance Henriksen, Paul Winfield",science fiction,https://en.wikipedia.org/wiki/The_Terminator,"In 1984 Los Angeles, a cyborg assassin known as a Terminator arrives from 2029 and steals guns and clothes. Shortly afterward, Kyle Reese, a human soldier from 2029, arrives. He steals clothes and evades the police. The Terminator begins systematically killing women named Sarah Connor, whose addresses he finds in the telephone directory. He tracks the last Sarah Connor to a nightclub, but Kyle rescues her. The pair steal a car and escape with the Terminator pursuing them in a police car.
As they hide in a parking lot, Kyle explains to Sarah that an artificial intelligence defense network, known as Skynet, will become self-aware in the near future and initiate a nuclear holocaust. Sarah's future son John will rally the survivors and lead a resistance movement against Skynet and its army of machines. With the Resistance on the verge of victory, Skynet sent a Terminator back in time to kill Sarah before John is born, to prevent the formation of the Resistance. The Terminator is an efficient killing machine with a powerful metal endoskeleton and an external layer of living tissue that makes it appear human.
Kyle and Sarah are apprehended by police after another encounter with the Terminator. Criminal psychologist Dr. Silberman concludes that Kyle is paranoid and delusional. The Terminator repairs his body and attacks the police station, killing many police officers in his attempt to locate Sarah. Kyle and Sarah escape, steal another car and take refuge in a motel, where they assemble pipe bombs and plan their next move. Kyle admits that he has been in love with Sarah since John gave him a photograph of her, and they have sex.
The Terminator kills Sarah's mother and impersonates her when Sarah, unaware of the Terminator's ability to mimic victims, attempts to contact her via telephone. When they realize he has reacquired them, they escape in a pickup truck while he chases them on a motorcycle. In the ensuing chase, Kyle is wounded by gunfire while throwing pipe bombs at the Terminator. Enraged‚ Sarah knocks the Terminator off his motorcycle but loses control of the truck, which flips over. The Terminator hijacks a tank truck and attempts to run down Sarah, but Kyle slides a pipe bomb onto the tanker, causing an explosion that burns the flesh from the Terminator's endoskeleton. It pursues them to a factory, where Kyle activates machinery to confuse the Terminator. He jams his final pipe bomb into the Terminator's abdomen, blowing the Terminator apart, injuring Sarah, and killing himself. The Terminator's still functional torso reactivates and grabs Sarah. She breaks free and lures it into a hydraulic press, crushing it.
Months later, a pregnant Sarah is traveling through Mexico, recording audio tapes to pass on to her unborn son, John. She debates whether to tell him that Kyle is his father. At a gas station, a boy takes a Polaroid photograph of her which she purchases—the same photograph that John will eventually give to Kyle."
1985,Back to the Future,American,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson",science fiction,https://en.wikipedia.org/wiki/Back_to_the_Future,"In 1985 Hill Valley, California, teenager Marty McFly and his girlfriend, Jennifer Parker, are chastised by the school principal for lateness. Marty auditions for the Battle of the Bands, but is rejected for being too loud. At home, Marty's father George is bullied by his supervisor, Biff Tannen, while his mother Lorraine is an overweight, depressed alcoholic. Lorraine recalls how she met George when her father hit him with his car.
Marty is invited by his friend, eccentric inventor Dr. Emmett Brown, to meet him in a parking lot in the early hours. Doc unveils a time machine built from a modified DeLorean and powered by plutonium stolen from terrorists. Preparing to demonstrate the time machine, Doc sets the date to November 5, 1955: the day he invented time travel. The terrorists arrive and shoot Doc. Marty escapes in the DeLorean, but inadvertently activates the time machine.
Marty finds himself in 1955 without enough plutonium to return. He encounters the teenaged George, who is bullied by his classmate Biff. After Marty saves George from an oncoming car, he is knocked unconscious and awakens to find himself tended to by Lorraine, who is infatuated with him.
Marty tracks down Doc's younger self for help. With no plutonium, Doc explains that the only power source capable of generating the necessary 1.21 gigawatts of electricity for the time machine is a bolt of lightning. Marty shows Doc a flyer from the future that recounts a lightning strike at the town's courthouse due the coming Saturday night.
Doc instructs Marty to not leave his house or interact with anyone, as he could inadvertently alter the future; because of this, Doc refuses to heed warnings from Marty about his death in 1985. Marty realizes that he has prevented his parents from meeting and Doc warns him that Marty will be erased from existence if he does not find a way to introduce George to Lorraine. Doc formulates a plan to harness the power of the lightning, while Marty sets about introducing his parents.
After Lorraine asks Marty to the school dance, Marty concocts a plan: he will feign inappropriate advances on Lorraine, allowing George to ""rescue"" her. The plan goes awry when a drunken Biff attempts to force himself on Lorraine. George, enraged, knocks out Biff, and Lorraine follows him to the dance floor, where they kiss while Marty performs with the band.
As the storm arrives, Marty returns to the clock tower and the lightning strikes, sending Marty back to 1985. Doc has survived the shooting, as he had listened to Marty's warnings and worn a bullet-proof vest. Doc takes Marty home and departs to the future. Marty awakens the next morning to find that George is a successful author, Lorraine is fit and happy, and Biff is now an obsequious auto valet. As Marty reunites with Jennifer, the DeLorean appears with Doc, insisting they accompany him to 2015 to resolve a problem with their future children. The trio board the DeLorean and warp to the future."
